"X","Y","DOY","T","N","NAME"
10.13238827,54.32478117,111,2020-04-20,14,"Kiel"
10.13238827,54.32478117,83,2020-03-23,11,"Kiel"
10.13238827,54.32478117,87,2020-03-27,12,"Kiel"
10.13238827,54.32478117,88,2020-03-28,11,"Kiel"
10.13238827,54.32478117,89,2020-03-29,14,"Kiel"
10.13238827,54.32478117,92,2020-04-01,12,"Kiel"
10.13238827,54.32478117,100,2020-04-09,11,"Kiel"
10.13238827,54.32478117,84,2020-03-24,11,"Kiel"
10.72758761,53.87251865,83,2020-03-23,23,"Lübeck"
10.72758761,53.87251865,80,2020-03-20,18,"Lübeck"
10.72758761,53.87251865,100,2020-04-09,13,"Lübeck"
10.60189983,53.58903497,81,2020-03-21,12,"Herzogtum Lauenburg"
10.60189983,53.58903497,102,2020-04-11,14,"Herzogtum Lauenburg"
10.60189983,53.58903497,90,2020-03-30,12,"Herzogtum Lauenburg"
10.60189983,53.58903497,91,2020-03-31,20,"Herzogtum Lauenburg"
10.60189983,53.58903497,113,2020-04-22,12,"Herzogtum Lauenburg"
10.60189983,53.58903497,86,2020-03-26,12,"Herzogtum Lauenburg"
10.60189983,53.58903497,93,2020-04-02,21,"Herzogtum Lauenburg"
10.60189983,53.58903497,94,2020-04-03,11,"Herzogtum Lauenburg"
9.73860559,53.71763327,100,2020-04-09,14,"Pinneberg"
9.73860559,53.71763327,88,2020-03-28,14,"Pinneberg"
9.73860559,53.71763327,96,2020-04-05,12,"Pinneberg"
9.73860559,53.71763327,77,2020-03-17,15,"Pinneberg"
9.73860559,53.71763327,80,2020-03-20,14,"Pinneberg"
9.73860559,53.71763327,84,2020-03-24,25,"Pinneberg"
9.73860559,53.71763327,85,2020-03-25,17,"Pinneberg"
9.73860559,53.71763327,86,2020-03-26,14,"Pinneberg"
9.73860559,53.71763327,87,2020-03-27,26,"Pinneberg"
9.73860559,53.71763327,91,2020-03-31,15,"Pinneberg"
9.73860559,53.71763327,92,2020-04-01,27,"Pinneberg"
9.73860559,53.71763327,93,2020-04-02,18,"Pinneberg"
9.73860559,53.71763327,94,2020-04-03,41,"Pinneberg"
9.73860559,53.71763327,95,2020-04-04,21,"Pinneberg"
9.73860559,53.71763327,97,2020-04-06,15,"Pinneberg"
9.73860559,53.71763327,98,2020-04-07,47,"Pinneberg"
9.73860559,53.71763327,99,2020-04-08,26,"Pinneberg"
9.73860559,53.71763327,114,2020-04-23,13,"Pinneberg"
9.78173428,54.28961245,84,2020-03-24,14,"Rendsburg-Eckernförde"
9.78173428,54.28961245,85,2020-03-25,14,"Rendsburg-Eckernförde"
9.78173428,54.28961245,87,2020-03-27,11,"Rendsburg-Eckernförde"
9.78173428,54.28961245,88,2020-03-28,11,"Rendsburg-Eckernförde"
9.78173428,54.28961245,90,2020-03-30,11,"Rendsburg-Eckernförde"
9.78173428,54.28961245,86,2020-03-26,16,"Rendsburg-Eckernförde"
9.50336141,54.6235959,91,2020-03-31,11,"Schleswig-Flensburg"
9.50336141,54.6235959,142,2020-05-21,16,"Schleswig-Flensburg"
10.14090709,53.91998067,91,2020-03-31,13,"Segeberg"
10.14090709,53.91998067,92,2020-04-01,16,"Segeberg"
10.14090709,53.91998067,94,2020-04-03,14,"Segeberg"
10.14090709,53.91998067,128,2020-05-07,18,"Segeberg"
10.14090709,53.91998067,130,2020-05-09,11,"Segeberg"
10.14090709,53.91998067,98,2020-04-07,12,"Segeberg"
9.51938595,53.92892918,126,2020-05-05,29,"Steinburg"
9.51938595,53.92892918,124,2020-05-03,48,"Steinburg"
10.33165933,53.7208162,91,2020-03-31,15,"Stormarn"
10.33165933,53.7208162,81,2020-03-21,11,"Stormarn"
10.33165933,53.7208162,95,2020-04-04,12,"Stormarn"
10.33165933,53.7208162,80,2020-03-20,13,"Stormarn"
10.33165933,53.7208162,93,2020-04-02,14,"Stormarn"
10.33165933,53.7208162,98,2020-04-07,12,"Stormarn"
10.33165933,53.7208162,104,2020-04-13,70,"Stormarn"
10.33165933,53.7208162,108,2020-04-17,11,"Stormarn"
10.33165933,53.7208162,84,2020-03-24,11,"Stormarn"
10.33165933,53.7208162,87,2020-03-27,14,"Stormarn"
10.33165933,53.7208162,99,2020-04-08,12,"Stormarn"
10.01586006,53.54741866,70,2020-03-10,30,"Hamburg"
10.01586006,53.54741866,75,2020-03-15,80,"Hamburg"
10.01586006,53.54741866,77,2020-03-17,133,"Hamburg"
10.01586006,53.54741866,78,2020-03-18,134,"Hamburg"
10.01586006,53.54741866,80,2020-03-20,145,"Hamburg"
10.01586006,53.54741866,81,2020-03-21,107,"Hamburg"
10.01586006,53.54741866,83,2020-03-23,133,"Hamburg"
10.01586006,53.54741866,84,2020-03-24,207,"Hamburg"
10.01586006,53.54741866,86,2020-03-26,170,"Hamburg"
10.01586006,53.54741866,90,2020-03-30,70,"Hamburg"
10.01586006,53.54741866,91,2020-03-31,159,"Hamburg"
10.01586006,53.54741866,93,2020-04-02,167,"Hamburg"
10.01586006,53.54741866,96,2020-04-05,107,"Hamburg"
10.01586006,53.54741866,97,2020-04-06,96,"Hamburg"
10.01586006,53.54741866,98,2020-04-07,214,"Hamburg"
10.01586006,53.54741866,100,2020-04-09,114,"Hamburg"
10.01586006,53.54741866,101,2020-04-10,97,"Hamburg"
10.01586006,53.54741866,103,2020-04-12,46,"Hamburg"
10.01586006,53.54741866,108,2020-04-17,108,"Hamburg"
10.01586006,53.54741866,109,2020-04-18,39,"Hamburg"
10.01586006,53.54741866,111,2020-04-20,33,"Hamburg"
10.01586006,53.54741866,114,2020-04-23,48,"Hamburg"
10.01586006,53.54741866,141,2020-05-20,13,"Hamburg"
10.01586006,53.54741866,74,2020-03-14,77,"Hamburg"
10.01586006,53.54741866,92,2020-04-01,138,"Hamburg"
10.01586006,53.54741866,99,2020-04-08,116,"Hamburg"
10.01586006,53.54741866,102,2020-04-11,79,"Hamburg"
10.01586006,53.54741866,119,2020-04-28,25,"Hamburg"
10.01586006,53.54741866,134,2020-05-13,14,"Hamburg"
10.01586006,53.54741866,71,2020-03-11,29,"Hamburg"
10.01586006,53.54741866,72,2020-03-12,42,"Hamburg"
10.01586006,53.54741866,76,2020-03-16,80,"Hamburg"
10.01586006,53.54741866,79,2020-03-19,185,"Hamburg"
10.01586006,53.54741866,82,2020-03-22,150,"Hamburg"
10.01586006,53.54741866,85,2020-03-25,163,"Hamburg"
10.01586006,53.54741866,87,2020-03-27,141,"Hamburg"
10.01586006,53.54741866,88,2020-03-28,145,"Hamburg"
10.01586006,53.54741866,89,2020-03-29,115,"Hamburg"
10.01586006,53.54741866,94,2020-04-03,157,"Hamburg"
10.01586006,53.54741866,95,2020-04-04,112,"Hamburg"
10.01586006,53.54741866,105,2020-04-14,76,"Hamburg"
10.01586006,53.54741866,106,2020-04-15,83,"Hamburg"
10.01586006,53.54741866,112,2020-04-21,58,"Hamburg"
10.01586006,53.54741866,116,2020-04-25,44,"Hamburg"
10.01586006,53.54741866,113,2020-04-22,49,"Hamburg"
10.01586006,53.54741866,126,2020-05-05,21,"Hamburg"
10.01586006,53.54741866,69,2020-03-09,20,"Hamburg"
10.01586006,53.54741866,73,2020-03-13,38,"Hamburg"
10.01586006,53.54741866,104,2020-04-13,41,"Hamburg"
10.01586006,53.54741866,107,2020-04-16,74,"Hamburg"
10.01586006,53.54741866,110,2020-04-19,22,"Hamburg"
10.01586006,53.54741866,115,2020-04-24,42,"Hamburg"
10.01586006,53.54741866,117,2020-04-26,17,"Hamburg"
10.01586006,53.54741866,118,2020-04-27,21,"Hamburg"
10.01586006,53.54741866,120,2020-04-29,42,"Hamburg"
10.01586006,53.54741866,121,2020-04-30,25,"Hamburg"
10.01586006,53.54741866,127,2020-05-06,21,"Hamburg"
10.01586006,53.54741866,128,2020-05-07,17,"Hamburg"
