"X","Y","DOY","T","N","NAME"
9.73860559,53.71763327,94,2020-04-03,41,"Pinneberg"
9.73860559,53.71763327,98,2020-04-07,47,"Pinneberg"
9.51938595,53.92892918,124,2020-05-03,48,"Steinburg"
10.33165933,53.7208162,104,2020-04-13,70,"Stormarn"
10.01586006,53.54741866,75,2020-03-15,80,"Hamburg"
10.01586006,53.54741866,77,2020-03-17,133,"Hamburg"
10.01586006,53.54741866,78,2020-03-18,134,"Hamburg"
10.01586006,53.54741866,80,2020-03-20,145,"Hamburg"
10.01586006,53.54741866,81,2020-03-21,107,"Hamburg"
10.01586006,53.54741866,83,2020-03-23,133,"Hamburg"
10.01586006,53.54741866,84,2020-03-24,207,"Hamburg"
10.01586006,53.54741866,86,2020-03-26,170,"Hamburg"
10.01586006,53.54741866,90,2020-03-30,70,"Hamburg"
10.01586006,53.54741866,91,2020-03-31,159,"Hamburg"
10.01586006,53.54741866,93,2020-04-02,167,"Hamburg"
10.01586006,53.54741866,96,2020-04-05,107,"Hamburg"
10.01586006,53.54741866,97,2020-04-06,96,"Hamburg"
10.01586006,53.54741866,98,2020-04-07,214,"Hamburg"
10.01586006,53.54741866,100,2020-04-09,114,"Hamburg"
10.01586006,53.54741866,101,2020-04-10,97,"Hamburg"
10.01586006,53.54741866,103,2020-04-12,46,"Hamburg"
10.01586006,53.54741866,108,2020-04-17,108,"Hamburg"
10.01586006,53.54741866,109,2020-04-18,39,"Hamburg"
10.01586006,53.54741866,111,2020-04-20,33,"Hamburg"
10.01586006,53.54741866,114,2020-04-23,48,"Hamburg"
10.01586006,53.54741866,74,2020-03-14,77,"Hamburg"
10.01586006,53.54741866,92,2020-04-01,138,"Hamburg"
10.01586006,53.54741866,99,2020-04-08,116,"Hamburg"
10.01586006,53.54741866,102,2020-04-11,79,"Hamburg"
10.01586006,53.54741866,72,2020-03-12,42,"Hamburg"
10.01586006,53.54741866,76,2020-03-16,80,"Hamburg"
10.01586006,53.54741866,79,2020-03-19,185,"Hamburg"
10.01586006,53.54741866,82,2020-03-22,150,"Hamburg"
10.01586006,53.54741866,85,2020-03-25,163,"Hamburg"
10.01586006,53.54741866,87,2020-03-27,141,"Hamburg"
10.01586006,53.54741866,88,2020-03-28,145,"Hamburg"
10.01586006,53.54741866,89,2020-03-29,115,"Hamburg"
10.01586006,53.54741866,94,2020-04-03,157,"Hamburg"
10.01586006,53.54741866,95,2020-04-04,112,"Hamburg"
10.01586006,53.54741866,105,2020-04-14,76,"Hamburg"
10.01586006,53.54741866,106,2020-04-15,83,"Hamburg"
10.01586006,53.54741866,112,2020-04-21,58,"Hamburg"
10.01586006,53.54741866,116,2020-04-25,44,"Hamburg"
10.01586006,53.54741866,113,2020-04-22,49,"Hamburg"
10.01586006,53.54741866,73,2020-03-13,38,"Hamburg"
10.01586006,53.54741866,104,2020-04-13,41,"Hamburg"
10.01586006,53.54741866,107,2020-04-16,74,"Hamburg"
10.01586006,53.54741866,115,2020-04-24,42,"Hamburg"
10.01586006,53.54741866,120,2020-04-29,42,"Hamburg"
10.78489283,52.41075772,87,2020-03-27,63,"Wolfsburg"
10.08802527,51.56400468,170,2020-06-18,53,"Göttingen"
10.08802527,51.56400468,171,2020-06-19,41,"Göttingen"
10.08802527,51.56400468,101,2020-04-10,34,"Göttingen"
10.08802527,51.56400468,106,2020-04-15,49,"Göttingen"
10.08802527,51.56400468,103,2020-04-12,54,"Göttingen"
10.08802527,51.56400468,109,2020-04-18,45,"Göttingen"
9.71976028,52.42192535,79,2020-03-19,59,"Hannover"
9.71976028,52.42192535,88,2020-03-28,47,"Hannover"
9.71976028,52.42192535,149,2020-05-28,34,"Hannover"
9.71976028,52.42192535,84,2020-03-24,70,"Hannover"
9.71976028,52.42192535,86,2020-03-26,84,"Hannover"
9.71976028,52.42192535,87,2020-03-27,53,"Hannover"
9.71976028,52.42192535,148,2020-05-27,60,"Hannover"
9.71976028,52.42192535,155,2020-06-03,37,"Hannover"
9.71976028,52.42192535,77,2020-03-17,33,"Hannover"
9.71976028,52.42192535,78,2020-03-18,72,"Hannover"
9.71976028,52.42192535,85,2020-03-25,102,"Hannover"
9.71976028,52.42192535,90,2020-03-30,61,"Hannover"
9.71976028,52.42192535,91,2020-03-31,45,"Hannover"
9.71976028,52.42192535,92,2020-04-01,80,"Hannover"
9.71976028,52.42192535,93,2020-04-02,51,"Hannover"
9.71976028,52.42192535,97,2020-04-06,39,"Hannover"
9.71976028,52.42192535,98,2020-04-07,77,"Hannover"
9.71976028,52.42192535,99,2020-04-08,79,"Hannover"
9.71976028,52.42192535,100,2020-04-09,75,"Hannover"
9.71976028,52.42192535,105,2020-04-14,42,"Hannover"
9.71976028,52.42192535,114,2020-04-23,31,"Hannover"
9.71976028,52.42192535,128,2020-05-07,34,"Hannover"
9.71976028,52.42192535,80,2020-03-20,61,"Hannover"
9.71976028,52.42192535,83,2020-03-23,40,"Hannover"
9.71976028,52.42192535,89,2020-03-29,49,"Hannover"
9.71976028,52.42192535,109,2020-04-18,31,"Hannover"
9.71976028,52.42192535,112,2020-04-21,37,"Hannover"
9.71976028,52.42192535,94,2020-04-03,59,"Hannover"
9.71976028,52.42192535,107,2020-04-16,49,"Hannover"
9.71976028,52.42192535,108,2020-04-17,52,"Hannover"
9.71976028,52.42192535,121,2020-04-30,34,"Hannover"
9.71976028,52.42192535,161,2020-06-09,35,"Hannover"
9.96280848,53.3157949,94,2020-04-03,38,"Harburg"
7.40269239,52.7382944,101,2020-04-10,31,"Emsland"
7.40269239,52.7382944,98,2020-04-07,31,"Emsland"
8.3893775,52.98807436,88,2020-03-28,44,"Oldenburg"
8.04509824,52.38159455,94,2020-04-03,49,"Osnabrück"
8.04509824,52.38159455,98,2020-04-07,72,"Osnabrück"
8.04509824,52.38159455,101,2020-04-10,49,"Osnabrück"
8.04509824,52.38159455,86,2020-03-26,31,"Osnabrück"
8.04509824,52.38159455,97,2020-04-06,46,"Osnabrück"
8.04509824,52.38159455,125,2020-05-04,32,"Osnabrück"
8.04509824,52.38159455,139,2020-05-18,45,"Osnabrück"
8.04509824,52.38159455,143,2020-05-22,53,"Osnabrück"
8.22305493,52.66019319,87,2020-03-27,31,"Vechta"
8.78079381,53.11911624,86,2020-03-26,31,"Bremen"
8.78079381,53.11911624,94,2020-04-03,32,"Bremen"
8.78079381,53.11911624,107,2020-04-16,44,"Bremen"
8.78079381,53.11911624,113,2020-04-22,108,"Bremen"
8.78079381,53.11911624,119,2020-04-28,37,"Bremen"
8.78079381,53.11911624,120,2020-04-29,38,"Bremen"
8.78079381,53.11911624,127,2020-05-06,46,"Bremen"
8.78079381,53.11911624,79,2020-03-19,38,"Bremen"
8.78079381,53.11911624,98,2020-04-07,35,"Bremen"
6.81011215,51.23549702,127,2020-05-06,34,"Düsseldorf"
6.81011215,51.23549702,134,2020-05-13,31,"Düsseldorf"
6.81011215,51.23549702,91,2020-03-31,46,"Düsseldorf"
6.81011215,51.23549702,76,2020-03-16,42,"Düsseldorf"
6.81011215,51.23549702,78,2020-03-18,36,"Düsseldorf"
6.81011215,51.23549702,93,2020-04-02,46,"Düsseldorf"
6.81011215,51.23549702,90,2020-03-30,54,"Düsseldorf"
6.81011215,51.23549702,99,2020-04-08,45,"Düsseldorf"
6.81011215,51.23549702,77,2020-03-17,63,"Düsseldorf"
6.81011215,51.23549702,83,2020-03-23,46,"Düsseldorf"
6.81011215,51.23549702,94,2020-04-03,31,"Düsseldorf"
6.81011215,51.23549702,97,2020-04-06,55,"Düsseldorf"
6.81011215,51.23549702,106,2020-04-15,32,"Düsseldorf"
6.73469514,51.43963151,86,2020-03-26,34,"Duisburg"
6.73469514,51.43963151,99,2020-04-08,41,"Duisburg"
6.73469514,51.43963151,177,2020-06-25,43,"Duisburg"
6.73469514,51.43963151,140,2020-05-19,32,"Duisburg"
6.73469514,51.43963151,156,2020-06-04,34,"Duisburg"
7.0171181,51.43384363,79,2020-03-19,73,"Essen"
7.0171181,51.43384363,83,2020-03-23,54,"Essen"
7.0171181,51.43384363,111,2020-04-20,172,"Essen"
7.0171181,51.43384363,75,2020-03-15,38,"Essen"
7.0171181,51.43384363,81,2020-03-21,44,"Essen"
7.0171181,51.43384363,87,2020-03-27,36,"Essen"
7.0171181,51.43384363,97,2020-04-06,36,"Essen"
6.57968019,51.34524742,110,2020-04-19,42,"Krefeld"
6.57968019,51.34524742,87,2020-03-27,31,"Krefeld"
7.16889878,51.25064786,91,2020-03-31,43,"Wuppertal"
7.16889878,51.25064786,95,2020-04-04,31,"Wuppertal"
7.16889878,51.25064786,97,2020-04-06,40,"Wuppertal"
7.16889878,51.25064786,99,2020-04-08,80,"Wuppertal"
7.16889878,51.25064786,108,2020-04-17,58,"Wuppertal"
6.2588116,51.65236955,88,2020-03-28,34,"Kleve"
6.2588116,51.65236955,102,2020-04-11,48,"Kleve"
6.96903888,51.25707712,98,2020-04-07,31,"Mettmann"
