"X","Y","DOY","T","N","NAME"
10.33165933,53.7208162,104,2020-04-13,70,"Stormarn"
10.01586006,53.54741866,75,2020-03-15,80,"Hamburg"
10.01586006,53.54741866,77,2020-03-17,133,"Hamburg"
10.01586006,53.54741866,78,2020-03-18,134,"Hamburg"
10.01586006,53.54741866,80,2020-03-20,145,"Hamburg"
10.01586006,53.54741866,81,2020-03-21,107,"Hamburg"
10.01586006,53.54741866,83,2020-03-23,133,"Hamburg"
10.01586006,53.54741866,84,2020-03-24,207,"Hamburg"
10.01586006,53.54741866,86,2020-03-26,170,"Hamburg"
10.01586006,53.54741866,90,2020-03-30,70,"Hamburg"
10.01586006,53.54741866,91,2020-03-31,159,"Hamburg"
10.01586006,53.54741866,93,2020-04-02,167,"Hamburg"
10.01586006,53.54741866,96,2020-04-05,107,"Hamburg"
10.01586006,53.54741866,97,2020-04-06,96,"Hamburg"
10.01586006,53.54741866,98,2020-04-07,214,"Hamburg"
10.01586006,53.54741866,100,2020-04-09,114,"Hamburg"
10.01586006,53.54741866,101,2020-04-10,97,"Hamburg"
10.01586006,53.54741866,108,2020-04-17,108,"Hamburg"
10.01586006,53.54741866,74,2020-03-14,77,"Hamburg"
10.01586006,53.54741866,92,2020-04-01,138,"Hamburg"
10.01586006,53.54741866,99,2020-04-08,116,"Hamburg"
10.01586006,53.54741866,102,2020-04-11,79,"Hamburg"
10.01586006,53.54741866,76,2020-03-16,80,"Hamburg"
10.01586006,53.54741866,79,2020-03-19,185,"Hamburg"
10.01586006,53.54741866,82,2020-03-22,150,"Hamburg"
10.01586006,53.54741866,85,2020-03-25,163,"Hamburg"
10.01586006,53.54741866,87,2020-03-27,141,"Hamburg"
10.01586006,53.54741866,88,2020-03-28,145,"Hamburg"
10.01586006,53.54741866,89,2020-03-29,115,"Hamburg"
10.01586006,53.54741866,94,2020-04-03,157,"Hamburg"
10.01586006,53.54741866,95,2020-04-04,112,"Hamburg"
10.01586006,53.54741866,105,2020-04-14,76,"Hamburg"
10.01586006,53.54741866,106,2020-04-15,83,"Hamburg"
10.01586006,53.54741866,112,2020-04-21,58,"Hamburg"
10.01586006,53.54741866,107,2020-04-16,74,"Hamburg"
10.78489283,52.41075772,87,2020-03-27,63,"Wolfsburg"
10.08802527,51.56400468,170,2020-06-18,53,"Göttingen"
